,0
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.0
0.33,0.0
0.34,0.0
0.35000000000000003,0.0
0.36,0.0
0.37,0.0
0.38,0.0
0.39,0.0
0.4,0.0
0.41000000000000003,0.0
0.42,0.0
0.43,0.0
0.44,0.0
0.45,0.0
0.46,0.0
0.47000000000000003,0.0
0.48,0.0
0.49,0.0
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.5700000000000001,0.0
0.58,0.0
0.59,0.0
0.6,0.0
0.61,0.06437787167297387
0.62,0.3543794831701136
0.63,0.6255770299589202
0.64,0.8528181382612233
0.65,0.9521415339699948
0.66,1.0625610521711788
0.67,1.147266867072994
0.68,1.1778224985039718
0.6900000000000001,1.2099729787228688
0.7000000000000001,1.2302584780692427
0.71,1.2410860913011845
0.72,1.2796615955390276
0.73,1.3566350418760724
0.74,1.4388170477458768
0.75,1.491468239313429
0.76,1.446818380503165
0.77,1.4078576437512473
0.78,1.4426942592469278
0.79,1.489506746444791
0.8,1.518614909754015
0.81,1.551845987127785
0.8200000000000001,1.5583630802777986
0.8300000000000001,1.4771830955413878
0.84,1.4093270636649013
0.85,1.4380156651730434
0.86,1.5148099119585314
0.87,1.5404912511314526
0.88,1.555298461126434
0.89,1.5602592283479
0.9,1.5065604844760212
0.91,1.470419308974733
0.92,1.433977304678845
0.93,1.4370340749376713
0.9400000000000001,1.5320317987655463
0.9500000000000001,1.5638396106272907
0.96,1.5259830873748363
0.97,1.499838227758164
0.98,1.4937014694875888
0.99,1.463539796816423
1.0,1.3841938861738112
1.01,1.3322250323954083
1.02,1.351048956186384
1.03,1.3922036128067865
1.04,1.3646841434048562
1.05,1.3338338885073608
1.06,1.3782653932853113
1.07,1.4097189255164881
1.08,1.3624411502882923
1.09,1.3081209659623674
1.1,1.2798359161297952
1.11,1.2777330533623175
1.12,1.2536129573565433
1.1300000000000001,1.1801104587924414
1.1400000000000001,1.1391403942001221
1.1500000000000001,1.1871450840298137
1.16,1.2357062106680579
1.17,1.2570766935182331
1.18,1.204506081552365
1.19,1.1164235342610906
1.2,1.0881982987989969
1.21,1.0682712546597017
1.22,1.0322844179215378
1.23,1.0450566606579335
1.24,1.0579622515485
